 [1] " s produced two brilliant science fiction films "                                                                                                                          
 [2] "one gattaca "                                                                                                                                                              
 [3] " thirteenth floor "                                                                                                                                                        
 [4] "just gattaca overshadowed mighty titanic thirteenth floor relegated obscurity matrix "                                                                                     
 [5] "however thirteeth floor though deals similar themes much better movie frenetic childish improbable matrix "                                                                
 [6] " cutting edge computer scientist hannon fuller played charming armin muellerstahl murdered "                                                                               
 [7] " associate douglas hall craig bierko apparently framed suspected police enters simulated world created order unravel mystery "                                             
 [8] "along way beautiful blonde gretchen mol bodies deepening mystery simulated worlds complicate picture "                                                                     
 [9] " thirteenth floor unfolds slowly telegraphs punches choosing elicit complex emotional response empathy anticipation rather cheap one mere surprise "                       
[10] " result movie failure two conventional points view "                                                                                                                       
[11] "first plot revelations can foreseen one carefully followed complex storyline "                                                                                             
[12] "second seriously demands audience think feel "                                                                                                                             
[13] " wonder fell cracks "                                                                                                                                                      
[14] "done film noir style murder mystery relatively deep movie functions several levels "                                                                                       
[15] "many audiences will simply bewildered rather engaged shame movie amply repays little emotional intellectual investment "                                                   
[16] " recommend second viewing simply get flavor frequent ironic foreshadowing opening parts movie "                                                                            
[17] "despite philosophical challenges thirteenth floor derives emotional force love story jane fuller mol douglas hall bierko well close friendship douglas hall hannon fuller "
[18] " sense akin gattaca matrix cute philosophical byplay adolescent movie emotional depth whatsoever "                                                                         
[19] " moment jane fuller confesses love douglas hall satisfying wrenching intellectually challenging "                                                                          
[20] " final moments film even takes david janes husband come enjoy killing accuses sick one "                                                                                   
[21] "although victory leading characters resolution suggests disturbing element fantasy jane thus deepseated character flaw "                                                   
[22] " fact hannon fullers activities simulated world behavior janes husband effects entering simulation douglas hall hint similar issues characters "                           
[23] " film good people beset without great evil "                                                                                                                               
[24] " tragedy stars "                                                                                                                                                           
[25] " major actors required play two even three roles perform extremely well "                                                                                                  
[26] "bierko will familiar psycho long kiss goodnight outstanding "                                                                                                              
[27] "donofrio whitney plays pivotal role support also turns good performance "                                                                                                  
[28] " lovely gretchen mol whose elegance integrity determination suggest bergman casablanca wonderful job "                                                                     
[29] " voice however lacks necessary weight times "                                                                                                                              
[30] " given worst lines movie whose major weakness script "                                                                                                                     
[31] " minor flaws hairline cracks fine porcelain appear places "                                                                                                                
[32] " one two instances jerky editing "                                                                                                                                         
[33] " script takes edge films climaxes "                                                                                                                                        
[34] " atmosphere becomes claustrophobic times yet clue "                                                                                                                        
[35] "one wonders even two decades blade runner still casting long shadow scifi films "                                                                                          
[36] "one can see group suits suite waving hands imperiously directors like emperor amadeus make likeblade runner know dark rainy "                                              
[37] " thirteen floor rare exception among hollywood movies rich emotionally satisfying intelligent scifi movie "                                                                
[38] " yet ultimately proves suits right "                                                                                                                                       
[39] " good scifi made sf community turning droves see "                                                                                                                         
[40] " dont support great sf will "                                                                                                                                              
