 [1] " man man without eight taels gold "                                                                                                                                                     
 [2] "starring sammo hung sylvia chang directed mabel cheung written cheung alex law cinematography bill wong "                                                                               
 [3] "eight taels gold begins fish water story point becomes love story involving two people whose past choices prevent fruition love "                                                       
 [4] "neither aspect movie entirely successful good enough "                                                                                                                                  
 [5] " along way one perfect scene one find films "                                                                                                                                           
 [6] "slim played portly sammo hung better known star director hong kong action movies chinese immigrant drives yellow cab new york "                                                         
 [7] " movie opens see shouting obscenities another taxi driver "                                                                                                                             
 [8] " seem particularly place "                                                                                                                                                              
 [9] " fact return visit home rural china first time sixteen years spending life savings process will become proverbial fish water realizes can never go home "                               
[10] " brings statue liberty cigarette lighters cheap sunglasses lobsters large prove theyre american tokens success "                                                                        
[11] " also wears gold chain gold watch without eight taels gold man man dictionary tells taels unit weight used far east assume phrase chinese proverb "                                     
[12] " loses stuffexcept goldwhen van crashes river hitch ride speak raft along river runs past parents village "                                                                             
[13] " arrives unannounced almost induces cardiac arrest father "                                                                                                                             
[14] " makings routine comedy movie amusing moments villagers take turns giving slim gifts celebration homecoming give birds evenings end surrounded turkeys ducks geese sundry fowl "        
[15] " eight taels comedyit sad sweet story choices people make sometimes irreparable "                                                                                                       
[16] "director mabel cheung autumns tale soong sisters sees clearly like lived half life one country half country side worldwhat like longer place call home "                                
[17] "slim belong china belong america can barely speak language "                                                                                                                            
[18] "seeing water buffalo fields rafts poled river fireworks exploding gloriously sky small village come know world slim left behind seems knowing first time wishes felt like home "        
[19] " condition expatriate eloquently portrayed one sympathetic "                                                                                                                            
[20] " way parents village slim hooks jenny sylvia chang knew girl nicknamed oddsandends continues call although now mature professional attractive woman married spring americanchinese man "
[21] "slim oddsandends fall "                                                                                                                                                                 
[22] "thats predictable "                                                                                                                                                                     
[23] " manner non romance played "                                                                                                                                                            
[24] " emotions involved adult complex film avoids cheap solutions dilemma "                                                                                                                  
[25] " typical instance fianc sort plot colossal jerk makes easier empathize unrequited lover "                                                                                               
[26] " fianc decent ordinary guy although slim like feel anger "                                                                                                                              
[27] " fianc done nothing wrong situation result bad luck bad decisions take pick "                                                                                                           
[28] "eight taels share flaws early sequences america plane china especially weak compensates insight "                                                                                       
[29] " oddsandends tells slim future husband wants move san francisco notes resignedly "                                                                                                      
[30] "wherever go well chinatown straightforward statement expresses much "                                                                                                                   
[31] " insight understanding consequences slim oddsandends decisions move america marry chineseamerican "                                                                                     
[32] " choices perhaps born impatience perhaps sense grass always greenerand turns choices wrong "                                                                                            
[33] " undo must live done "                                                                                                                                                                  
[34] " life "                                                                                                                                                                                 
[35] " movie tender toward people offers false comforts "                                                                                                                                     
[36] "everything right true eight taels comes together one great scene culmination love story "                                                                                               
[37] "slim oddsandends sit secluded spot talk hesitantly muted poppop fireworks exploding night behind seems conversation will lead kiss "                                                    
[38] " exchange follows slim poignant perfect clarity understatement see two peoples lives heartbreaks virtues summed single moment "                                                         
[39] "yes film flawed moments like justify inadequacies "                                                                                                                                     
