 [1] " didnt come city angels expecting greatness "                                                                                                                                                                       
 [2] "ive never seen wim wenders wings desire classic movie upon city loosely based "                                                                                                                                     
 [3] " seen enough stories based upon similar plot device little mermaid disney version original folktale among high expectations possible power story impossible love can hold "                                         
 [4] "unfortunately city angels ended fulfilling "                                                                                                                                                                        
 [5] " plot couldnt tell previews revolves around angel seth played almost creepy intensity nicolas cage midst angelic duties falls love heart surgeon named maggie meg ryan endearing performance since harry met sally "
 [6] " course angel prevents much love except appearing random times talk watch buy groceries disappear blink eye "                                                                                                       
 [7] " love must remain unrequited unless seth decides make ultimate sacrifice become human "                                                                                                                             
 [8] "using framework jumpingoff point movie attempts veer heavy philosophical ruminations nature desire joys human definition perfection "                                                                               
 [9] " first half movie succeeds points "                                                                                                                                                                                 
[10] "cage excellently plays eminently difficult role angel doesnt know feelings cant really express preventing character seth getting boring despite limited repertoire intent looks hangdog expressions "               
[11] "unfortunately cage takes intensity far sometimes seth comes across creepy sensitive "                                                                                                                               
[12] " maggie ryan manages convincing heart surgeon trouble coming terms lost patient operating table despite done everything right "                                                                                     
[13] " beauty unlike unbearable cuteness french kiss mature intelligent winning "                                                                                                                                         
[14] "likewise interesting ideas float around beginning film "                                                                                                                                                            
[15] " camera pans traffic jams libraries get hear thoughts random people flash across screen audience experiences little must like angel "                                                                               
[16] " beautiful camera work shooting onto hectic world los angeles improbable perches angels also gives us sense unique wonder angels feel "                                                                             
[17] " film begins lose way though focus tightens seth maggie "                                                                                                                                                           
[18] " grand angelic perspective gets lost except idly tossed lines incredible beauty world angels eyes "                                                                                                                 
[19] " movie devolves examination seth cant feel world importantly cant feel maggie cant smell hair feel touch taste pears eats "                                                                                         
[20] " change focus attempts capture audience seths intense longing conflict disappears "                                                                                                                                 
[21] " wants maggie badly doesnt just make leap become human "                                                                                                                                                            
[22] " whats great angel "                                                                                                                                                                                                
[23] "sure get sit marlboro signs whats compared getting meg ryan "                                                                                                                                                       
[24] " yearning established romantic denouement must occur downhill "                                                                                                                                                     
[25] " philosophy becomes heavyhanded dialogue pedestrian tries deep plot twists simply attempt yank tears audiences hankie "                                                                                             
[26] " last thirty minutes movie wrecks film "                                                                                                                                                                            
[27] " feel like writer pulling melodramatic stops robbed genuinely powerful movie experience romantic philosophical level "                                                                                              
[28] " came feeling robbed seeing much possibility film becoming nothing "                                                                                                                                                
[29] " go longer dont want ruin end revealing cheap plot devices film relies "                                                                                                                                            
[30] "city angels paradox "                                                                                                                                                                                               
[31] " wellacted particularly look dennis franz cutting typecasting happygolucky fallen angel wellfilmed based wonderful idea "                                                                                           
[32] " possibilities though make film unredeemable closing credits come "                                                                                                                                                 
