 [1] " hard recommend others "                                                                                                                                                                                                     
 [2] " supernatural thriller written directed alejandro amen bar open eyes adroitly establishes maintains lowkey atmosphere menace "                                                                                               
 [3] " cinematography javier aguirresarobe good ever seen nicole kidman gives another growing body fine performances "                                                                                                             
 [4] " pacing story moves deliberate downright sluggish payoff tale left less satisfied "                                                                                                                                          
 [5] "overall film plays like high quality version number old twilight zone episodes characters spend great deal time wandering looking afraid disoriented learn actually childs toy military test subject department store dummy "
 [6] "watching vintage shows listening players chatter always wanted shout get "                                                                                                                                                   
 [7] " much appreciated atmosphere acting others reaction much "                                                                                                                                                                   
 [8] "set island mansion coast england world war ii story focuses grace kidman tends children anne alakina mann nicholas james bentley worries husband charles christopher eccleston missing serviceman "                          
 [9] "anne nicholas suffer photosensitivity grace patrols estate keys doors protecting little ones excess light making sure one door open time "                                                                                   
[10] " beginning film three servants mrs mills fionnula flanagan young mute lydia elaine cassidy mr tuttle eric sykes aging gardener join family "                                                                                 
[11] " two speak seem agreeable enough first soon becomes apparent know something grace "                                                                                                                                          
[12] " make matters worse children upset nicholas unusually jittery anne claims seeing ghosts "                                                                                                                                    
[13] "grace attempts blame troubles new arrivals home realize whatever happening beyond "                                                                                                                                          
[14] "thats essentially whole story tension growing pivotal moment everything becomes clear "                                                                                                                                      
[15] "earlier outstanding scene grace darts outside enveloped fold fold shimmering fog "                                                                                                                                           
[16] " visuals otherworldly sequence courtesy aguirresarobe simply astounding "                                                                                                                                                    
[17] " also enjoyed presence religion rarity films dealing supernatural "                                                                                                                                                          
[18] "grace christian answers childrens questions life death assurance devout worshiper "                                                                                                                                          
[19] " mother away though kids speculate whether statements fact folklore just real children "                                                                                                                                     
[20] " nice touches fail enliven film slow make lackluster ending "                                                                                                                                                                
[21] " others sets classic ghost story fails grasp special something makes films layers mist "                                                                                                                                     
