 [1] " often said fans hal hartley movies acquired taste "                                                                                                                                                                                                                    
 [2] "indeed "                                                                                                                                                                                                                                                                
 [3] " perhaps less dangerous tequila shooters bungeejumping require less amount physical stamina concentration "                                                                                                                                                             
 [4] " felt rewarded end henry fool movie creeps youat slow minutes mean creepsand despite final shots ambiguity left completely satisfied "                                                                                                                                  
 [5] "henry fool used e arrives garbageman simon grims house claims vacant basement apartment almost instantly inspires simon urbaniak take writinghenry martin donovan lookalike ryan exconvict oncegreat author exiled marginalized publishing community criminal activity "
 [6] "simons poetry turns local sensation causes mute women sing highschool girls swoon councilmen rile pornographic content "                                                                                                                                                
 [7] "meanwhile henry seduces simons dependent mother porter immature sister sundance queen posey philosophical babble turns brilliant inane breathy animal lust "                                                                                                            
 [8] " story elements result climaxes inevitable unpredictable teacherstudent relationship formed henry simon eventually reverses "                                                                                                                                           
 [9] "henry fool sprinkled hartleyian flourishes simon drinks milk udderleys big teen hangout called world donuts simon wears garbagemans uniform throughout editing style decidedly elliptical "                                                                             
[10] " key conclusions said ambiguity "                                                                                                                                                                                                                                       
[11] " performances three leads abrasive first selfconsciously quirky introductory scenes chore "                                                                                                                                                                             
[12] " people grow convey genuine passion belief longterm goals henry simon may drink lot budweiser hang streetcorner arent pop slackers "                                                                                                                                    
[13] " story rather classical tutor better talker doer raised books timid tutee innate talent master dreams "                                                                                                                                                                 
[14] " shades film school "                                                                                                                                                                                                                                                   
[15] " finished film epic proportions story small final third test ones patience yet henry fool tight hardly excessive length "                                                                                                                                               
[16] " refreshing see movie long devoted entirely character "                                                                                                                                                                                                                 
[17] " unless nodded single building exploded "                                                                                                                                                                                                                               
[18] " hartleys seventh feature contemplative artist fortunately never get sampling simons work testament actors screenplay end can surmise sort thoughts pour writers pens "                                                                                                 
