 [1] " find television intensely boring simply never turn set unless im watching movie "                                                                              
 [2] " dont even cable went radio shack buy antenna specifically purpose watching xfiles every sunday night "                                                         
 [3] " show thats worth hour time week though since dont watch reruns im glad six months year avoid television altogether "                                           
 [4] " avid fan show three years now "                                                                                                                                
 [5] " love gillian anderson "                                                                                                                                        
 [6] " xfiles film continues story season finale left "                                                                                                               
 [7] " film like twohour episode except lot special effects plot thicker resolution satisfying "                                                                      
 [8] " terrific film fans series never seen imagine viewers unfamiliar show will find film solid riveting entertainment "                                             
 [9] " expected like episode ive seen expectations met "                                                                                                              
[10] "actually film takes risks story plot devices thankfully makers managed right "                                                                                  
[11] " finale ended fbi branch known xfiles destroyed heroes mulder david duchovny scully gillian anderson left stripped five years hard work "                       
[12] " film picks soon mulder scully reduced field agents investigating bomb threat federal building "                                                                
[13] " wait im getting ahead "                                                                                                                                        
[14] " film actually opens ice age years prior couple prehistoric guys get attacked vicious alien "                                                                   
[15] " aliens blood infects fans show will certainly remember black cancer story jumps modern times young boy also infected cancer "                                  
[16] " turns bomb planted kill boy mulder scully uncover coverup despite fact scully resigned position fbi "                                                          
[17] "soon find whole thing aliens "                                                                                                                                  
[18] " ive written easy write plot summaries films like everything needs surprise "                                                                                   
[19] "fans show will know expect seriously doubt disappointed film "                                                                                                  
[20] "director rob bowman done great job expanding eerie feeling show big screen making small adjustments minor changes utilize possibilities film allows television "
[21] " truly suspenseful wellcreated scenes late film theyre alien spacecraft youll see one better action sequences recent cinema "                                   
[22] " special effects good production design christopher nowak fantastic "                                                                                           
[23] " find interesting xfiles actually great way series neophytes get story "                                                                                        
[24] " heroes given subtle introductions expected know outset film explains enough story prior knowledge series isnt required understand film "                       
[25] " course little elements makers included payoff fans ill keep surprises "                                                                                        
[26] " takes lot thought understanding series create film using roots complicated ones series provides create coherent film anyone can understand clearly "           
[27] " series strong lot reasons "                                                                                                                                    
[28] " original though many ties twilight zone owes homage hitchcock impressively eerie television show "                                                             
[29] " really makes series shine however actors "                                                                                                                     
[30] "duchovny much presence just fun guy watch "                                                                                                                     
[31] " confidence will someday make bankable leading man "                                                                                                            
[32] "anderson equally good paralyzingly beautiful shes also strong actress "                                                                                         
[33] " performers acted little series however though think theyll get chances prove soon "                                                                            
[34] " enthusiastically recommend xfiles fans nonfans "                                                                                                               
[35] " summer filled disappointing blockbusters film satisfy others leave completely dry "                                                                            
[36] " intelligent film takes places might least might seen many times feel familiar "                                                                                
[37] " xfiles impressive concept well fans series likely highly critical take premise beyond series risky move "                                                      
[38] " nice see risk pay change "                                                                                                                                     
[39] "actually nice see risk "                                                                                                                                        
