 [1] " simply amazing green mile developed three hour running time "                                                                                            
 [2] "based stephen king series title film starts painfully slow underdeveloped characters idiotic dialogue "                                                   
 [3] "however plot begins progress film turns pure perfection outstanding performances wonderful direction "                                                    
 [4] "frank darabont masterfully followed prisoners story shawshank redemption time follows perspective prison guard paul edgecomb tom hanks "                  
 [5] " edgecombs experiences cell block known green mile death row prisoners wait repent audience sees good evil sides law "                                    
 [6] " evil prison guard evil prisoner green mile successful creating sympathy kindhearted hard working guards hard thinking prisoners "                        
 [7] " plot follows edgecomb four guards meet variety prisoners strong relationships eventually forced execute "                                                
 [8] " performances veterans new comers back original characters superb "                                                                                       
 [9] " ensemble acting film perfect "                                                                                                                           
[10] "hanks david morse barry pepper guards wonderful fitting roles "                                                                                           
[11] " characters relate calm less extreme roles "                                                                                                              
[12] " given positions make rational decisions difficult times ones fulfill demands audience "                                                                  
[13] " unique characters perfectly create friction green mile make story interesting exciting "                                                                 
[14] " particularly note worthy roles unique characters include doug hutchinson sam rockwell michael duncan "                                                   
[15] "hutchinson playing percy wetmore cowardly guard hides true feelings tormenting others gives greatest performance movie "                                  
[16] "every time appears screen attitude others uncomfortable creepy expressions able create effectively terrifying "                                           
[17] " come surprise hutchinson nominated academy award best supporting actor wonderful job wetmore also stole every scene away veteran oscar winner tom hanks "
[18] "rockwell independent film veteran plays role wild bill wharton perfection "                                                                               
[19] " prisoner taunts harasses guards hours really gets skin irritates watch torture others "                                                                  
[20] " irritation creates makes performance believable "                                                                                                        
[21] " last noteworthy performance belongs duncan enormous convicted killer john coffey happens hold power curing ill "                                         
[22] "duncan wonderful job playing frightened childlike behemoth similar lennie small mice men "                                                                
[23] " desire love extinction hate evokes compassion obvious suffering just cause "                                                                             
[24] " pain creates pain viewer "                                                                                                                               
[25] "however takes hour duncan introduced completely film "                                                                                                    
[26] " film opens ridiculous present day setting contains scene jabs jerry springer show "                                                                      
[27] " scene containing one old man complaining guests show inbred rednecks "                                                                                   
[28] " observation entirely pointless place also hackneyed beyond belief "                                                                                      
[29] " film flashes back graham greene quickly executed without introduction "                                                                                  
[30] " death seems rushed without knowledge scene neither sad convincing "                                                                                      
[31] "greene even given final word like characters dont even see walk infamous green mile "                                                                     
[32] "however film begins specifically introduce characters coffey eduard delacroix michael jeter well five prison guards film becomes interesting "            
[33] " speed green mile perfect "                                                                                                                               
[34] " time matter concern film edited two hour mark unsatisfactory able know characters treat others "                                                         
[35] " three hour running perfect plot development end film great amount love hate attached character "                                                         
[36] " green mile good following rough beginning pivotal moment end finally comes almost impossible feel sort sadness every person scene "                      
[37] "fighting back tears difficult task barely succeeded "                                                                                                     
[38] " survive first third green mile sit back enjoy remainder priceless entertainment "                                                                        
