 [1] "every film sneaks takes completely surprise "                                                                                                                                                   
 [2] " dont necessarily mean terms quality rather im referring mere knowledge existence "                                                                                                             
 [3] "usually know films way year advance two weeks ago never heard princess caraboo "                                                                                                                
 [4] " slipped rather quietly limited release appears destined slip just quietly "                                                                                                                    
 [5] "thats shame princess caraboo delightful fable romantic gentle appealing "                                                                                                                       
 [6] "whats surprisingly insightful provides sharpwitted lesson english social history "                                                                                                              
 [7] "princess caraboo based actual event early th century england involving young woman phoebe cates found wandering countryside "                                                                   
 [8] "apparently unable speak english taken goodhearted gentlewoman mrs worrall wendy hughes "                                                                                                        
 [9] " banker husband jim broadbent nonetoopleased strange houseguest worralls begin believe woman may royalty east indian island princess caraboo "                                                  
[10] " development inspires plans lucrative trading venture mr worrall introduction elite social circles mrs worrall "                                                                                
[11] "however local journalist john gutch stephen rea convinced woman seems sets find truth princess caraboo "                                                                                        
[12] " social satire comedy manners princess caraboo winner "                                                                                                                                         
[13] " takes place era common practice england jail vagrants hang beggars practice comes obvious hazing "                                                                                             
[14] " handled effectively character mr worrall drunken womanizer whose bank deep trouble thanks corruption ineptitude "                                                                              
[15] " worse one idle rich one actively odious gentry eager distance lower class think nothing simply eliminating since house money mrs worrall bit close comfort "                                   
[16] " hypocrisy easy target ridicule director cowriter michael austin keeps treatment lighthearted heavyhanded "                                                                                     
[17] " also takes unique stab trendiness upper classes princess becomes sensation court "                                                                                                             
[18] " one films best sequences princess caraboo guest honor party hosted prince regent wonderfully foppish turn comic john sessions lords ladies end following around thoroughly silly native dance "
[19] " princess caraboo shows easily people swept sensations idea takes timeless quality makes film interesting companion piece current quiz show "                                                   
[20] "social commentary aside princess caraboo simply eminently enjoyable entertainment "                                                                                                             
[21] " performers mostly delightful particularly phoebe cates radiant part requires gift pantomime "                                                                                                  
[22] " supporting players also appealing wendy hughes patient kindly mrs worrall kevin kline frixos worralls suspicious superior greek butler stephen rea worldweary ultimately romantic gutch "      
[23] " john lithgow disappointment turning limp performance scholar attempts verify princesss identity "                                                                                              
[24] " story twists turns just enough question whether princess really princess always doubt without becoming gimmicky "                                                                              
[25] " unfortunate growing attraction gutch princess caraboo isnt given time develop potential seemed "                                                                                               
[26] " finally blossom seems quick plausible "                                                                                                                                                        
[27] "princess caraboo patient enough establishing sense time place might seem bit slow viewers seeking fantasy romp "                                                                                
[28] "still escapist intellectual appeal well worth seeking "                                                                                                                                         
[29] " kind film makes job rewardinga hidden gem "                                                                                                                                                    
