 [1] " growing s boys school used divide two groups based action movies preferences "                                                                                                        
 [2] " first one included liked movies featured spectacular car chases lots machinegun fire huge explosions "                                                                                
 [3] " latter one preferred hong kong martial arts flicks probably precise thought imitate stunts real life "                                                                                
 [4] "decades later refining cinematic taste began appreciate actually like movies probably overexposure shootemup idiocy s ramboids "                                                       
 [5] "yes kung fu martial arts flicks cheap predictable formulaic plot asked little production values aside martial arts skills "                                                            
 [6] " time movies rules hands capable director become terrific guilty pleasure source relaxation "                                                                                          
 [7] " best movies one passed test time managed keep cult status quarter century enter dragon "                                                                                              
 [8] "made joint hong kong hollywood venture intended bring bruce lees skills kung fu philosophy western audience "                                                                          
 [9] " succeeded still debatable whether merit unfortunate mysterious death bruce lee immortalised myth actor "                                                                              
[10] "lee plays quiet shaolin monk martial arts expert "                                                                                                                                     
[11] " approached interpol official asks join triannual martial arts tournament held remote island owned controlled han renegade shaolin monk "                                              
[12] "interpol suspects martial arts business just cover narcotics gunrunning prostitution operations lee must find evidence necessary authorities intervene "                               
[13] "lee accepts mission personal reasons oharra hans brutal bodyguard responsible tragic death lees sister years ago "                                                                     
[14] " island also destination two colourful martial arts experts us williams played jim kelly black activist running racist police friend roper wants make money order pay gambling debts " 
[15] " plot enter dragon many ways influenced james bond franchise return favour using kung fu elements man golden gun two years later "                                                     
[16] " main hero faced powerhungry megalomaniac remote island alone whole army bad guys "                                                                                                    
[17] " hand lee believable hero bond deprived guns supertech gadgets rely personal skills order survive "                                                                                    
[18] " time plot although extremely thin allowed even internal battles natural instinct avenge sister antiviolent philosophy "                                                               
[19] " latter provided opportunities evaluate lees acting skills new elements impressive screen presence "                                                                                   
[20] "although two main actors john saxon obligatory good white guy jim kelly obligatory black good guy intended share top spot lee served nothing comic relief "                            
[21] " real shame see kelly definitely worse actor saxon steal scenes lines worst possible blaxploitation cliches sound damn top "                                                           
[22] " actors including shih kien turns han typical although convincing bondian villain nothing fist fodder bruce lee among young jackie chan "                                              
[23] "fighting scenes still impressive today years ago although mostly lack gore associated genre "                                                                                          
[24] " many way also realistic personally staged lee demanding blow two incapacitate kill opponent "                                                                                         
[25] "im martial arts expert martial arts fan comparing scenes typical scenes today simply cant avoid appreciate difference todays movie fights masses bloody pulp manage get floor win end "
[26] " despite obvious flaws preclude movie top times enter dragon incredibly entertaining piece cinema martial arts flick can enjoyed even dont like particular genre "                     
