 [1] "lisa cholodenkos high art intelligent quiet drama "                                                                                                                                                                                                    
 [2] " strongest quality aside topnotch central performances perceptive way film also written cholodenko observes characters "                                                                                                                               
 [3] " flawed people troubled others judged "                                                                                                                                                                                                                
 [4] "judging characters picture creative misstep filmmakers parts one matter bad deserve negatively judged involved serious problems break free "                                                                                                           
 [5] "syd radha mitchell yearold woman living longtime boyfriend james gabriel mann recently awarded ideal job highprofile photography magazine frame "                                                                                                      
 [6] " much enjoys career headed often taken seriously managers always giving petty jobs knows important things "                                                                                                                                            
 [7] "one night taking bath syd notices leak coming apartment goes inform meets lucy beliner ally sheedy thin wornout unhappy woman lives drugaddicted german girlfriend greta patricia clarkson pathetic former actress usually outofit often conciousness "
 [8] "syd quickly strikes conversation lucy discovers used acclaimed photographer ten years "                                                                                                                                                                
 [9] "lucy claims doesnt want get back profession syd manages convince frame editors piece work "                                                                                                                                                            
[10] " syd begins grow deep feelings lucy even though never previously attracted woman lucy starts battle personal demons "                                                                                                                                  
[11] " high art effective motion picture never sugercoated idealized instead honest convincing portrait handful unhappy people whose lives going nowhere syds luck begins rise "                                                                             
[12] " film way lesbianism love refreshing change pace usual stereotypical portraits homosexuality "                                                                                                                                                         
[13] " lucy syd grow closer closer together really believe falling love even relationship might doomed "                                                                                                                                                     
[14] " picture ally sheedys star risen thanks touching nearly flawless portrtayal lucy woman course decade found life consumed almost entirely drugs taken away onceblossoming career "                                                                      
[15] " characted really tragic one particular scene involving lucy mother lucy admits drug problem mother matteroffactly responds saying cant help heartbreaking "                                                                                           
[16] "although autobiographical sheedy drug problems past suspect brought knowledge already lucys footsteps role "                                                                                                                                           
[17] "also good radha mitchell syd previously starred slight australian comedy love catastrophes wh caught surprise performance "                                                                                                                            
[18] "easily able pass christina riccis older sister mitchell obtains natural charisma made ricci popular recently "                                                                                                                                         
[19] " accurate almost every detail high art wish relationship tightly written involving syd james played gabriel mann left throwaway role "                                                                                                                 
[20] " time finds syd lucy disappears film wish another scene confronted "                                                                                                                                                                                   
[21] " minor fault however film full riches "                                                                                                                                                                                                                
[22] "although many characters stuck hopeless pit despair syd lucy intelligent people recognize problems "                                                                                                                                                   
[23] " character dominique anh duong frame editor decides give syd chance ideas also written far mature expected "                                                                                                                                           
[24] " one sex scene film beautifully originally done "                                                                                                                                                                                                      
[25] " invlove steaminess violent sexual activity gratuitous nudity focused actual characters love insecurities involved making decision actually sex "                                                                                                      
[26] " high art won screenwriting award sundance film festival marks superior feature film debut cholodenko well sheedys strongest best role date "                                                                                                          
