 [1] " ask mm eight millimeter really "                                                                                                                                                 
 [2] " wholesome surveillance man loses sight values becoming enmeshed seedy sleazy underworld hardcore pornography "                                                                   
 [3] " business bubbling just beneath surface bigtown americana theres sordid world sick depraved people wont necessarily stop short murder order satisfy sick twisted desires "        
 [4] " can position influence making kinds films sick demented people want see "                                                                                                        
 [5] "im talking snuff films supposed documentaries victims brutalized killed camera "                                                                                                  
 [6] "im talking films like mm director joel schumacher "                                                                                                                               
 [7] " recent run big budget movies credit batman robin time kill batman forever client schumacher certainly kind influence "                                                           
 [8] " mm something really want see "                                                                                                                                                   
 [9] "probably "                                                                                                                                                                        
[10] " first twothirds mm unwind fairly conventional missing persons drama albeit particularly unsavory core "                                                                          
[11] " threatening along film explodes violence "                                                                                                                                       
[12] " just think finally schumacher tags ridiculous selfrighteous finale drags whole unpleasant experience even "                                                                      
[13] "trust "                                                                                                                                                                           
[14] " better ways waste two hours life "                                                                                                                                               
[15] "nicolas snake eyes cage plays private investigator tom welles hired wealthy philadelphia widow determine whether reel film found late husbands safe documents young girls murder "
[16] "welles goes assignment rather matteroffactly pieces puzzle fall place rather neatly almost dont need specialized skills training "                                                
[17] "welles certainly makes look easy "                                                                                                                                                
[18] " cops obviously never look toilet tanks clues "                                                                                                                                   
[19] " deeper welles digs investigation obsessed becomes like george c scott paul schraders hardcore "                                                                                  
[20] "occasionally little flickering sound whirs head like sprockets winding film projector reminding unpleasant task "                                                                 
[21] " hints taking toll lovely wife played catherine keener frustrated husband spending time cleveland rather ugly splitlevel home harrisburg pa "                                     
[22] " mm doesnt condemn condone subject matter just exploits "                                                                                                                         
[23] " irony course schumacher seven scribe andrew kevin walkers vision life snuff lane limited can show rrated firstrun hollywood product "                                            
[24] " see snippets snuff lot footage nicolas cage covering face horror "                                                                                                               
[25] "later turn joaquin phoenix whos quite good far films interesting character adult bookstore flunky max california cover face horrid thing screened "                               
[26] " get familiar yet offensive revelation sexual deviants indeed monsters everyday people like "                                                                                     
[27] "neither super standard mm shocking banality "                                                                                                                                     
