 [1] "meteor threat set blow away volcanoes twisters "                                                                                                                                                                            
 [2] "summer "                                                                                                                                                                                                                    
 [3] " season probably ambitious season decade hollywood churning films like deep impact godzilla xfiles armageddon truman show one main aim rock box office "                                                                    
 [4] "leading pack summer deep impact one first film releases spielbergkatzenberggeffens dreamworks production company "                                                                                                          
 [5] "following rather dismal showing previous two releases mousehunt amistad deep impact shines elements just make one biggest movies year "                                                                                     
 [6] "deep impact begins discovery earth bound comet school astronomy outing leo beiderman elijah wood subsequently stirred political community world "                                                                           
 [7] "keeping information wraps prevent widespread panic president beck morgan freeman took upon subordinates execute highly secretive space project destroy comet hits earth "                                                   
 [8] " pursuing sexscandal story amongst presidential ranks ambitious coming reporter jenny lerner tea leoni unfolds wool president beck pulled citizens world "                                                                  
 [9] " knowledge imminent annihilation mankind enough jenny come terms father maximillian schell leaving mother younger woman "                                                                                                   
[10] "president beck announces discovery preparations destroy comet exactly oneyear later much confidence left trace panic within american community "                                                                            
[11] "achieving fame announcement comet wolfbeiderman enroute earth name discoverers leo beiderman continues life small town young celebrity "                                                                                    
[12] " team astronauts led ageing veteran astronaut spurgeon tanner robert duvall secretly trained carry mission land comet create explosion nuclear device hope blowing current path towards earth "                             
[13] "despite experienced team younger generation astronauts team doubts tanners ability due age "                                                                                                                                
[14] " just problems individuals "                                                                                                                                                                                                
[15] "life earth goes day confident comet will destroyed "                                                                                                                                                                        
[16] " attempt avert wolfbeidermans path failed caused comet split two comet wolf comet beiderman president unfolds contingency plan evacuate part population leaving rest die "                                                  
[17] "citizens randomly chosen live underground years prior impact dust due impact around earth settled life surface died "                                                                                                       
[18] "jenny leo picked many loved ones handful earths population will saved destruction "                                                                                                                                         
[19] " "                                                                                                                                                                                                                          
[20] "deep impacts moving moments occur least specialeffect laced scenes "                                                                                                                                                        
[21] " effects fantastic form small part film indulges development main characters leo lerner tanner "                                                                                                                            
[22] "leos struggle learns girlfriend part population saved lerners dwindling relationship father pain mothers loneliness tanners strive gain respect deserves crew ultimate sacrifice form backbone deep impacts moving moments "
[23] "deep impact smells suspiciously like previous year release contact despite vivid differences "                                                                                                                              
[24] " think probably delve story global proportions indulges premise hope faith life "                                                                                                                                           
[25] " depend heavily eyecandy form cgi effects "                                                                                                                                                                                 
[26] "director mimi leder won numerous awards directing television series made debut peacekeeper last year definitely director watch "                                                                                            
[27] "despite first two meteor movies summer armageddon think will stark differences approach subject matter "                                                                                                                    
[28] " premise may execution focus films will fact show deep impact focus human elements armageddon done team brought us bad boys crimson tide rock "                                                                             
[29] " "                                                                                                                                                                                                                          
[30] "deep impact able satisfy variety audiences actioncraving just want immerse manipulative nonetheless dramatic premise "                                                                                                      
