 [1] " anxious see long time "                                                                                                                                                                                                                                                                                
 [2] " friend mine recommended crush neve campbell wanted prove shes hot thinks "                                                                                                                                                                                                                             
 [3] " proved right reasons enjoy film go way beyond "                                                                                                                                                                                                                                                        
 [4] "scream treads familar ground horror movie star neve campbell puts stupid killer stalking big breasted girl cant act whos always running stairs running front door "                                                                                                                                     
 [5] " familar typical horror film "                                                                                                                                                                                                                                                                          
 [6] " may ask watching seem new original "                                                                                                                                                                                                                                                                   
 [7] " treats hasnt done thus viewer disilusioned believing old familar tired stuff "                                                                                                                                                                                                                         
 [8] " raises another question "                                                                                                                                                                                                                                                                              
 [9] "simple characters "                                                                                                                                                                                                                                                                                     
[10] "theyre typical stupid horror film victims dont know hell chased guy ski mask machette "                                                                                                                                                                                                                 
[11] " horror fans know stuff happens horror movie know makes scary even funny certain times "                                                                                                                                                                                                                
[12] " can tell just watching opening scene casey becker drew barrymore making popcorn getting ready watch video guy sounds like killer calls play game involves horror movie triva gets wrong will get boyfriend killed "                                                                                    
[13] " knows answer asks horror film questions just cant answer final question door "                                                                                                                                                                                                                         
[14] " gets killed "                                                                                                                                                                                                                                                                                          
[15] " scene works normal horror film half things happen scene never happen "                                                                                                                                                                                                                                 
[16] " plot typical horror stuff sidney prescott impressive neve campbell attractive young high school student whos mother killed year ago tommorrow stalked killer whos previously murdered one classmates casey naturally everybody small california town suspect including sidneys boyfriend billy loomis "
[17] " said people know horror movies work thats makes appealing "                                                                                                                                                                                                                                            
[18] " references horror movies like casey says first nightmare elm street scary rest sucked "                                                                                                                                                                                                                
[19] " obviously director wes craven good job poking fun genre made legend patting back directed first nightmare movie none others tatum sidneys friend mentions director wes carpenter obviously homage writer kevin williamson craven also director john carpenter "                                        
[20] " cast well chosen neve campbell pulls good heroine unlike horror film heroines can act drew barrymore good janet leigh impression little time film david arquette impressive "                                                                                                                          
[21] "also good funny role henry winkler fonz school principal "                                                                                                                                                                                                                                              
[22] " took half point unnecessary albeit limited appearance friends courteney cox reporter gail edwards sidneys rival covered mothers disappearance "                                                                                                                                                        
[23] " hate show hate actors "                                                                                                                                                                                                                                                                                
[24] "theyre untalented overexposed overpaid imho think wes craven smart enough know actors overexposed enough suppose isnt "                                                                                                                                                                                 
