 [1] "call cliche police must eyes window soul "                                                                                                                                                                                 
 [2] " finest actors working films can command screen gaze paul newman ralph fiennes anthony hopkins morgan freeman "                                                                                                            
 [3] " look men screen can tell without saying word something going minds characters play real human beings "                                                                                                                    
 [4] " will never chance discover tupac shakur great actor unique quality eyes "                                                                                                                                                 
 [5] " gridlockd oddly effective combination gritty drama social satire shakur costar tim roth take sketchy characters make exciting watch pure energy talent chemistry "                                                        
 [6] "shakur roth play ezekiel spoon whitmore alexander stretch rome two detroit buddies share spoken wordjazz trio apartment drug addiction cookie thandie newton "                                                             
 [7] " new years eve party ends cookie comatose drug overdose spoon stretch begin wonder living borrowed time "                                                                                                                  
 [8] " soon make new years resolution get rehab proves easier said done "                                                                                                                                                        
 [9] " though temptation fix hindrance enough spoon stretch also find attempts get clean hitting road block bureaucracy confusion red tape "                                                                                     
[10] " government might least obstacles however find suspects murder drug dealer run nasty thug vondie curtis hall "                                                                                                             
[11] " order buy gridlockd accept surreal odyssey rather urban realism unless spoon stretch sleep entire day hospital bringing cookie going government offices new years day case thankful get help "                            
[12] "gridlockd may actually response fatuous social commentary another urban odyssey s falling found besieged middle class white male venting righteous anger system trek inner city los angeles "                              
[13] " falling michael douglas dfens characters personalized license plate echoed gridlockd drug lord drepers plates whips gun cant get breakfast mcdonalds gridlockd spoon stretch unarmed demands placed can get rehab center "
[14] " unhinged dfens became heroic surrogate audiences writerdirector vondie curtis hall refuses let spoon stretch hook part situation "                                                                                        
[15] "one bureaucrat responds tirade stretch question expect world stop just "                                                                                                                                                   
[16] " picked today clean "                                                                                                                                                                                                      
[17] " world gridlockd just frustrating world falling cathartic moments yield easy answers time "                                                                                                                                
[18] "hall interesting things say expect system perhaps enough "                                                                                                                                                                 
[19] " significant chunk gridlockd devoted spoon stretchs flight dreper police subplots serve thoroughly predictable moments "                                                                                                   
[20] " one scene stretch scares dreper getting chummy police officer another presents old chestnut two mistakenlysuspected heroes public place watching television news report crime shows pictures "                            
[21] " entire sequence events seems designed merely excuse get spoon stretch running primary plot standing line sitting much time "                                                                                              
[22] "hall also plays gratuitous inserts drug paraphernalia flashbacks day films main events perhaps making particular effort point talent characters wasting selfdestructive behavior "                                         
[23] "oh irony "                                                                                                                                                                                                                 
[24] "tupac shakur made career music movies playing hard case living life back "                                                                                                                                                 
[25] " gridlockd shakur gets chance play someone seen enough way life go know scares "                                                                                                                                           
[26] "spoon idea character best written hall shakur displays intelligence survival instinct struggle addiction "                                                                                                                 
[27] "mostly comes eyes eyes none hardness might expect infamous gangsta "                                                                                                                                                       
[28] " spoon plays conscience stretchs pure appetite roth plays stretch gleeful selfdestructiveness reveals hiv positive even preparing shoot much obstacle spoons goal agency enemy "                                           
[29] "gridlockds cruelly comic scene finds stretch helping spoon get emergency room repeatedly stabbing tiny pocket knife becomes appropriate symbol company keeps slowly drained life "                                         
[30] " friends like spoon doesnt need enemies shakur looks stretch tired eyes man seen much "                                                                                                                                    
[31] " tragedy now wont get chances see eyes "                                                                                                                                                                                   
