 [1] " times success particular film depends entirely one actors effort "                                                                                                                                                                                                                                          
 [2] "often single performance can turn might rather mediocre movie something worthwhile "                                                                                                                                                                                                                         
 [3] " one comes along usually try think many people put work movie way one person possible carry entire project shoulders "                                                                                                                                                                                       
 [4] " sometimes simply explanation case hurricane "                                                                                                                                                                                                                                                               
 [5] " biopic falsely convicted boxer rubin hurricane carter normally called norman jewisons hurricane per tradition referring film belonging director "                                                                                                                                                           
 [6] " though decent work jewison claim ownership hurricane one reason film works name denzel washington "                                                                                                                                                                                                         
 [7] "washington plays carter boxer convicted latenight shooting bar "                                                                                                                                                                                                                                             
 [8] "jailed years maintained never committed crimes remained jail second trial countless appeals "                                                                                                                                                                                                                
 [9] " situation changed group canadians moved washington worked freeing carter "                                                                                                                                                                                                                                  
[10] " efforts group carters lawyers eventually freed case heard federal court judge ruled rubin carter unfairly convicted "                                                                                                                                                                                       
[11] " film details carters childhood jail efforts racist cop dan hedaya "                                                                                                                                                                                                                                         
[12] " finally got prison good carter became rising star middleweight pro boxer seemingly career track police framed multiple homicide "                                                                                                                                                                           
[13] "despite efforts political activists celebrities remained imprisoned "                                                                                                                                                                                                                                        
[14] "flash forward lesra vicellous reon shannon young africanamerican boy living group canadian tutors reads book carter wrote prison "                                                                                                                                                                           
[15] " book entitled sixteenth round opens young lesras eyes injustice carters life vows help free incarcerated boxer "                                                                                                                                                                                            
[16] "lesra convinces canadian friends deborah unger liev schreiber john hannah work towards goal "                                                                                                                                                                                                                
[17] " hurricane leans denzel washington "                                                                                                                                                                                                                                                                         
[18] " must carry virtually every scene sheer force will brilliantly "                                                                                                                                                                                                                                             
[19] " probably accurate say washington embody rubin carter plays character far stronger nobler real person hope "                                                                                                                                                                                                 
[20] " perhaps accurate say washington embodies character rubin cartera fictional personality invented solely film "                                                                                                                                                                                               
[21] " actors work masterful washington throws every moment refusing keep audience arms length "                                                                                                                                                                                                                   
[22] " feel everything feels humiliation return prison fighting hard make something life pain order wife give fight utter despair feels coming conclusion hope lost "                                                                                                                                              
[23] "washingtons performance weight emotional depth "                                                                                                                                                                                                                                                             
[24] " doesnt merely play angry happy sad feels deepest level "                                                                                                                                                                                                                                                    
[25] " work masterful half film realized scene watching nearly affecting hands another actor "                                                                                                                                                                                                                     
[26] "norman jewison directs film reasonably good job pacing shot selection "                                                                                                                                                                                                                                      
[27] " hurricane moves quickly scene drawn much necessary narrative galloping along nicely "                                                                                                                                                                                                                       
[28] "jewison handles multiple flashbacks well audience always aware just time place scene nothing terribly confusing "                                                                                                                                                                                            
[29] " boxing scenes constructed clear inspiration raging bull get inside action well believable real sports footage "                                                                                                                                                                                             
[30] "jewison puts together particularly nice scene utilizing pretty cool trick carter sent solitary confinement days refuses wear prison uniform jewison assisted wonderful acting game washington shows carter gradually starts lose mind constant solitude eventually get three rubin carters arguing one cell "
[31] "jewisons best achievement hurricane succeeding showing carter becomes embittered man hardknock life able break bitterness learn trust people "                                                                                                                                                               
[32] "sadly though films chief failures lie screenplay goodbutnotgreat efforts round pike winter "                                                                                                                                                                                                                 
[33] " much interest viewer hurricane seems every time film gets chance take clich d route possible "                                                                                                                                                                                                              
[34] "take look supporting characters example drawn either entirely good entirely evil "                                                                                                                                                                                                                           
[35] "carter lesra played nicely shannon deserves credit real people everyone else stereotype "                                                                                                                                                                                                                    
[36] " canadians good "                                                                                                                                                                                                                                                                                            
[37] " cops bad "                                                                                                                                                                                                                                                                                                  
[38] " canadians spend time dolefully grinning loveydovey commune commune despite films failure make clear every racist cop especially dan hedayas melts shadows glowers every black person enters room "                                                                                                          
[39] "much dialogue comes rather hokey hate put prison "                                                                                                                                                                                                                                                           
[40] "loves gonna bust big courtroom climax everyone gets make impassioned speech lifted madefortv lifetime special "                                                                                                                                                                                              
[41] " bad "                                                                                                                                                                                                                                                                                                       
[42] " cast game director job subject matter interesting script takes safer slightly boring route far often "                                                                                                                                                                                                      
[43] " wanted real reason cop hold grudge carter hes racist pig "                                                                                                                                                                                                                                                  
[44] " wanted evidence canadians real people faults virtues instead bunch saintly crusaders looking justice "                                                                                                                                                                                                      
[45] " short wanted see film less distorted lens "                                                                                                                                                                                                                                                                 
[46] "criticism levied liberties hurricane takes truth really happened carter much deserved "                                                                                                                                                                                                                      
[47] " example film gives us boxing scene showing carter pummeling defending champ joey giardello screwed judges ruled giardello winner "                                                                                                                                                                          
[48] " accounts fight however carter losing fairly "                                                                                                                                                                                                                                                               
[49] "furthermore much carters criminal past conveniently left film just convicted second trial never really explained "                                                                                                                                                                                           
[50] " course hurricane works mainly fable digressions truth can excused least partially even dismissing issues dont remove one fact hurricane highly flawed film "                                                                                                                                                
[51] " one actor made schmaltzy predictable picture like work well good thing hurricane actor "                                                                                                                                                                                                                    
[52] "carter quoted saying denzel washington making look good hes one "                                                                                                                                                                                                                                            
[53] "washington makes film look good "                                                                                                                                                                                                                                                                            
[54] "denzel washingtons hurricane "                                                                                                                                                                                                                                                                               
[55] "sounds pretty good "                                                                                                                                                                                                                                                                                         
