 [1] "capsule dumb dud entry body heat sweepstakes now something landmark spawned jillion clones "                                                                    
 [2] "basic instincts worst crime just bad movie many ways incompetent one well "                                                                                     
 [3] " stupid stupid think audience stupid "                                                                                                                          
 [4] " supposed thriller plot dead feet ultimately arbitrary put movie jerk us around "                                                                               
 [5] " also supposed sexy instead got unpleasant rawness teenager showing younger kids collections dirty pictures "                                                   
 [6] " ripoff "                                                                                                                                                       
 [7] " story opens rock star murdered throes orgasm "                                                                                                                 
 [8] " biggest suspect authoress catherine tramell sharon stone wrote novel murder eerily presaged "                                                                  
 [9] " maybe work copycat "                                                                                                                                           
[10] " plot threads get fed detective whos case michael douglas problems "                                                                                            
[11] "like wonder elevator goes top floor "                                                                                                                           
[12] " can measure stopwatch time setting eyes moment mattress dance "                                                                                                
[13] "joe eszterhas written screenplay uses device used much better jagged edge killers identity kept secret movies final shot "                                      
[14] " isnt problem problem point weve given nothing work "                                                                                                           
[15] "every clue movie every clue ambiguous "                                                                                                                         
[16] " whole thriller aspect movie shill "                                                                                                                            
[17] "red herrings dead plot threads violence kinky sexuality litter movie like potholes manhattan streets "                                                          
[18] " add zip theyre happening people care "                                                                                                                         
[19] "douglass character foulmouthed bitter thats stones character ironon smile never changes rest forgettable "                                                      
[20] " dont even luxury giving damn anyone movie cares happens "                                                                                                      
[21] "especially ending unsatisfying many ways inexplicable "                                                                                                         
[22] " friend mine came rule thumb movie characters one movie behaves like anyone know care know just leave "                                                         
[23] "one nastier things movie way treats lesbianism integral part someones life kind kink something thrill men "                                                     
[24] " despair whenever encounter kind stupidity mainstream entertainment still culturally neanderthal way include something like bigbudget hollywood film hefnerism "
