 [1] " movie kills emilio estevez first fifteen minutes something going "                                                                                                                                                                                                    
 [2] "unfortunately familiar theme music worthwhile things mission impossible directed brian depalma "                                                                                                                                                                       
 [3] " first problem film absolutely connection tv show whatsoever aside music "                                                                                                                                                                                             
 [4] " tv show impossible mission force whose deft teamwork orchestrated jim phelps allowed counfound evil dictators mythic banana republics inflicting sordid schemes upon world "                                                                                          
 [5] "teamwork key "                                                                                                                                                                                                                                                         
 [6] " film set cross james bond depalmas blow john travolta character victim real imagined conspiracies directions "                                                                                                                                                        
 [7] " travoltas vulnerability made film exciting claustrophobic "                                                                                                                                                                                                           
 [8] " film tom cruise basically omniscient believe theres fun going whatsoever "                                                                                                                                                                                            
 [9] " story contrived contrived gets full holes "                                                                                                                                                                                                                           
[10] " basically two memorable sequences one involves breaking kubrickesque computer room task made much easier characters whit common sense suffice say alarm system disengaged computer operator room second involves highspeed train helicopter chunnel seen disbelieved "
[11] " actors miscast especially emannuelle beart jim phelps wife act ving rhames computer hacker looks lost embarrased movie "                                                                                                                                              
[12] "tom cruise james bond jon voight looks like bobby brain heenan jim phelps "                                                                                                                                                                                            
[13] "brian depalmas career bafflingly erratic "                                                                                                                                                                                                                             
[14] " best beats hitchcock game blow carrie body double best "                                                                                                                                                                                                              
[15] " screenplay partly written robert towne wrote best scenario seventies chinatown script perfunctory best terrrible worst "                                                                                                                                              
[16] " cinematography comic book redblue emphasis nice look suspense sequences telegraphed movie even features old killer talks much shooting thus giving victim time think escape trick "                                                                                   
[17] "please dont spend money itll encourage hollywood make "                                                                                                                                                                                                                
