 [1] " walked crouching tiger hidden dragon thought just seen great film "                                                                                                                                                                
 [2] " passage hours tempered enthusiasm started pondering question whether masterpiece must implicitly great piece work viceversa "                                                                                                      
 [3] "attempting make distinction may matter splitting hairs "                                                                                                                                                                            
 [4] " avoided commitment appealing etymology "                                                                                                                                                                                           
 [5] " word implies masterpiece work embodies skills master "                                                                                                                                                                             
 [6] " suffice say product exceptional quality "                                                                                                                                                                                          
 [7] "crouching tiger hidden dragon fits comfortably category "                                                                                                                                                                           
 [8] "crouching tiger hidden dragon immerses viewer idealized world oriental folklore requisite blend legend fantasy magic mythology "                                                                                                    
 [9] " reminiscent wagnerian epic characters might well halfgods greater life purer life stronger life physically invincible able accomplish superhuman feats human soul makes ultimately vulnerable "                                    
[10] " classic elements oriental mystique thrown mix including art contemplation concept martial dexterity physical equivalent spiritual advancement "                                                                                    
[11] " classic struggle good evil inevitable backdrop advanced masters golden pupil must choose two "                                                                                                                                     
[12] " gifted pupil influence evil master steals holy grail form magic sword focus conflict heart legend "                                                                                                                                
[13] " elements romance two different levels enlightenment pair masters pair youngsters poignantly represented "                                                                                                                          
[14] " paradox oriental restraint existing side side consuming passion breast projected effectively "                                                                                                                                     
[15] " fight scenes stunning balletic toursdeforce taken literally clearly enjoyed superb cinematic art prodigious leaps flights rooftops martial combat top swaying bamboo branches combatants skipping like pebbles along surface lake "
[16] " need question suspended disbelief one presence poetry "                                                                                                                                                                            
[17] " wagnerian opera substantial story line takes place ordinary human level yet entire project accepted work art rooted fantasy "                                                                                                      
[18] " assume however art limpwristed "                                                                                                                                                                                                   
[19] " put art label film can confidently recommended engrossing entertainment levels adventure action romance "                                                                                                                          
[20] " weak performances movie "                                                                                                                                                                                                          
[21] "michelle yeoh imbues character depth humanity wisdom "                                                                                                                                                                              
[22] "chow yon fat projects dignity purity heart "                                                                                                                                                                                        
[23] "zhang ziyi budding superstar "                                                                                                                                                                                                      
[24] " radiantly beautiful totally persuasive multifaceted role "                                                                                                                                                                         
[25] "cheng pei pei evil master chang cheng bandit prince acquit admirably "                                                                                                                                                              
[26] "kudos screenwriters james schamus wang hui ling tsai kuo jing choreographer yuen woping photography director peter pau music director tan dun contribute quality components extraordinary film "                                    
[27] "ang lee director coproducer mastermind project gets lion share credit "                                                                                                                                                             
[28] " destined one films everybody likes including hate martial arts movies "                                                                                                                                                            
[29] "dont miss "                                                                                                                                                                                                                         
