 [1] "plunkett macleane period piece mired modern mtv pretentions "                                                                                          
 [2] " nothing mtv approach filmmaking used properly can save movie see stigmata ruins one making muddled incoherent mess potentially interesting premise "  
 [3] " certain genres just dont go together "                                                                                                                
 [4] " film opens sequence still dont understand "                                                                                                           
 [5] " involves sort prison outbreak robbery gem keeps eaten "                                                                                               
 [6] " case caper whatever may brings together plunkett macleane robert carlyle johnny lee miller respectively two happygolucky brits way make living "      
 [7] " make pact steal money rich give earn enough money buy ticket america "                                                                                
 [8] " first heist involves young debutante named lady rebecca liv tyler woman macleane especially friendly party just earlier "                             
 [9] " decorum stripping valuables earns two crooks name gentleman highwaymen "                                                                              
[10] "lady rebecca also happens niece lord chief justice glaringly arrogant man nearing end political career "                                               
[11] " demands robbers caught punished immediately leaving job hands devious chance ken stott things mind catching criminals "                               
[12] "meanwhile macleane falls love rebecca infuriating businesslike plunkett doesnt want plans foiled partners mindless romantic travails "                 
[13] "director jake scott son ridley scott alien blade runner fathers knack setting atmospheric shots none skill actually moving camera "                    
[14] " action scenes filmed rapid jerky way impossible comprehend whats going "                                                                              
[15] " camerawork even nauseating purposefully dizzying blair witch project due lack fluidity "                                                              
[16] "instead utilizing panning shots impress upon us scope events scott uses attentiondeficitdisorder edits "                                               
[17] " barely ever holds shot ten seconds faster scenes seems like couple frames cut "                                                                       
[18] " weird almost defiant lack dialogue conversations lasting say seconds undermines character definition two protagonists come ciphers rather characters "
[19] " love affair macleane rebecca different emotionless unrealistic "                                                                                      
[20] " script calls macleane decide going america going meet lover reason us believe worth abandon goal rebecca barely even speak throughout film "          
[21] "plunkett macleane wants desperately triumph style substance since style quite frankly blows film hope succeeding level "                               
[22] " wanted appreciate movie basis admittedly kinetic pace couldnt kinetic gave headache "                                                                 
