 [1] "historical epic genre almost banished hollywood early s "                                                                                                                                                                                                                                           
 [2] " many critics scholars importantly film producers thing past something attracted crowds era blackandwhite television noncgi special effects "                                                                                                                                                       
 [3] " case dances wolves five years ago came man decided use energy talents actor producer director order revitalise particular genre "                                                                                                                                                                  
 [4] " case dances wolves awarded effort oscars "                                                                                                                                                                                                                                                         
 [5] " name film braveheart name director main actor mel gibson "                                                                                                                                                                                                                                         
 [6] " plot chronicles life scottish warlord folk hero william wallace "                                                                                                                                                                                                                                  
 [7] " time english king edward longshanks played patrick mcgoohan almost completely subdued entire british isles including scotland whose proud inhabitants now subjected ius primae noctis various forms humiliation oppression english knights "                                                       
 [8] "although english killed father many years ago young scottish commoner william wallace played mel gibson doesnt care politics wants peaceful life new bride murron played catherine maccormack "                                                                                                     
 [9] "murrons death changes wallace takes arms together small dedicated band followers begins guerrilla campaign systematically destroy almost every english garrison country "                                                                                                                           
[10] " time people join ranks wallaces ragtag army scores surprising victory english knights battle stirling bridge "                                                                                                                                                                                     
[11] " newly won freedom endangered internal squabbles scots especially nobles pretender robert bruce played angus macfadyen wouldnt like simple commoner national leader "                                                                                                                               
[12] "braveheart second film directorial career mel gibson wouldnt fair compare better known genre classics directed david lean anthony mann "                                                                                                                                                            
[13] "however even apply criteria braveheart decent historical epic takes new refreshing approach genre "                                                                                                                                                                                                 
[14] " noticeable element approach naturalism "                                                                                                                                                                                                                                                           
[15] " older hollywood films set medieval europe used give fairytalelike vision picturesque castles splendid costumes knights shining armour gibson shows us extremely unpleasant world poverty feudal injustice might made right life hard short brutish "                                               
[16] " general unpleasantness especially underlined scenes battle handtohand combat naturalistically displayed gory details never seen since verhoevens ultranaturalistic flesh blood "                                                                                                                   
[17] "compared naturalistic approach old hollywood epics look like stage plays "                                                                                                                                                                                                                          
[18] "braveheart also employs humour right places make bloody realities medieval british isles bearable sensitive audiences also underline downtoearth atmosphere different previous historical epics "                                                                                                   
[19] " makes braveheart larger life protagonist "                                                                                                                                                                                                                                                         
[20] "mel gibson obviously invested plenty energy talent bringing mythical figure william wallace result character th century poems transformed superhuman resembles late th century comic book hero "                                                                                                    
[21] "wallace superior enemies physically mentally yet able show sensitive vulnerable side "                                                                                                                                                                                                              
[22] "naturally character based epic poems historical accuracy going drain case almost every historical epic hollywood s "                                                                                                                                                                                
[23] "however even dont particularly care history willing give poetic license scriptwriter randall wallace might think went top idolising wallace especially second part film scottish superhero manages seduce princess isabel played sophie marceau make child "                                        
[24] " disbelief hardly suspended final scenes arent effective "                                                                                                                                                                                                                                          
[25] "mel gibson actor truly wonderful also helped small army good british irish actors "                                                                                                                                                                                                                 
[26] " memorable patrick mcgoohan whose cold calculated evil medieval monarch one effective villains seen contemporary cinema "                                                                                                                                                                           
[27] "brendan gleeson later become famous role boormans general also good wallaces trusted companion well ian bannen effective leprosystricken king john balliol "                                                                                                                                        
[28] "david oharra entertaining wallaces irish ally angus macfadyen brings lot anxiety consciencestricken character robert bruce "                                                                                                                                                                        
[29] "women film rather thankless roles especially marceau onedimensional french princess "                                                                                                                                                                                                               
[30] "catherine mccormack wallaces wife interesting eliminated picture early "                                                                                                                                                                                                                            
[31] " technical point view film also good "                                                                                                                                                                                                                                                              
[32] "photography john toll brings lot scottish natural beauty screen "                                                                                                                                                                                                                                   
[33] " hand musical score james horner employs much modernday instruments period piece set medieval times "                                                                                                                                                                                               
[34] "although mostly welcomed critics audiences alike braveheart often criticised homophobia forms extreme conservatism "                                                                                                                                                                                
[35] " main reason fact gibson among many historical facts chose faithful related sexual orientation longshank s son prince edward played peter hanly "                                                                                                                                                   
[36] " presented villain also one less competent villains camp portraying homosexuals villains inferior heterosexuals almost unforgivable sin politically correct hollywood "                                                                                                                             
[37] " make things even obvious good guys film total opposite effeminate incompetent edward rugged macho men mountains practical efficient tend employ conservatives common sense instead fashionable theories ivory tower liberals "                                                                     
[38] "however although message film might look rightwing owes leftist ideology various national liberation movements th century "                                                                                                                                                                         
[39] "according ideology oppressed classes workers peasants better suited fight national freedom members less lose struggle radical less willing make compromises efficient hand privileged classes aristocracy bourgeoisie likely betray cause freedom cahoots foreign oppressors order keep privileges "
[40] " marxist worldview presented braveheart without subtlety "                                                                                                                                                                                                                                          
[41] " end whether audience patient enough discover hidden meanings simply wants enjoy entertaining historical epic braveheart adequate choice fans recently resurrected genre "                                                                                                                          
