 [1] " wonder budget criterion whether movie can considered exploitation flick "                                                                                                       
 [2] "take professional example "                                                                                                                                                      
 [3] " boasts extremely glossy cinematography couple recognizable name actors couple fairly impressive explosions "                                                                    
 [4] " also basically violence cheap titilation features central relationship middleaged man twelveyearold girl decidedly ambiguous sexual dimension "                                 
 [5] " professional map pretensions anything unpleasant elements simply make unpleasant "                                                                                              
 [6] " professional title new york hit man named leon jean reno brutally efficient also isolated "                                                                                     
 [7] "one day forced let someone life girl apartment building knocks door "                                                                                                            
 [8] " name matilda natalie portman rest family just killed crooked wired d e "                                                                                                        
 [9] "agent norman stansfield gary oldman matildas father tried rip "                                                                                                                  
[10] "leon reluctantly takes matilda begins teach profession says wants avenge murder young brother "                                                                                  
[11] " two become closer makes vulnerable stansfield learns know much sets eliminate "                                                                                                 
[12] "writerdirector luc besson gone route popular french import la femme nikita slick potboiler female assassin "                                                                     
[13] " question besson can make great looking film assistance cinematographer thierry arbogast created film chock full moody closeups evocative lighting "                             
[14] " beneath shiny wrapper isnt nearly much going besson like us believe "                                                                                                           
[15] " relationship leon matilda never clicks neither one given character develop "                                                                                                    
[16] "leon mostly collection quirky traits intended show us hired killer hes really bad guy drinks lots milk takes meticulous care potted plant enjoys gene kelly movies "             
[17] "jean reno succeeds giving leon haunted desperate quality never makes emotional connection matilda "                                                                              
[18] "natalie portman wrong part called much grittier quality doesnt much work either "                                                                                                
[19] "besson better served spending time trying bring characters life less feeble attempts humor often embarrassing "                                                                  
[20] " silly game leon matilda involving celebrity impersonations completely place scene matilda shocks hotel manager announcing leon lover character thoroughly sacrificed cheap gag "
[21] "gary oldmans entire part something cheap gag wildeyed way top least interesting watch "                                                                                          
[22] " isnt real person found anywhere professional isnt always problem action thriller except one trying pass something "                                                             
[23] " disconcerting problem professional plays around sexuality twelveyearold really distasteful way "                                                                                
[24] " two real choices dealing component leon matildas relationship confront head ignore entirely "                                                                                   
[25] " besson flirts teases audience idea hes going show forbidden love story choosing simply focus camera portmans rear end dress skimpy clothing "                                   
[26] " say nothing questionable decision make look like quality paternal time leon teaching child load mm pistol blood spilled aplenty "                                               
[27] " great deal time professional just plain sleazy soft filters world cant disguise fact "                                                                                          
