 [1] " dont appreciate thriller manipulates viewer thinking plot interesting fact ludicrous "                                                                                                          
 [2] " case generals daughter plot capable intriguing certain point "                                                                                                                                  
 [3] " juncture story movie begins fall apart like crumbling cookie "                                                                                                                                  
 [4] " predictable summer thriller sporadically involving unfortunately enough compensate detailed flaws "                                                                                             
 [5] "get past one moment early john travolta exercises southern accent youre likely survive entire movie "                                                                                            
 [6] "travolta plays criminal investigations divisions officer paul brenner whos working undercover military base another situation arises apparent rape murder young female officer leslie stefanson "
 [7] " turns victim daughter general joe campbell james cromwell "                                                                                                                                     
 [8] "let investigation begin "                                                                                                                                                                        
 [9] " assistance fellow cid investigator sarah sunhill played rather onthesidelines madeleine stowe brenner uncovers appears intricate bizarre homicide case "                                        
[10] "things begin get marginally engrossing meet colonel moore james woods former commanding officer deceased secrets sleeve "                                                                        
[11] "woods submits another scenestealing performance oozes authority surrounded clouds smoke emitted cigar "                                                                                          
[12] " echoes supporting role true crime duked clint eastwood enjoyably profane verbal exchanges makes every moment believable "                                                                       
[13] " though intense dialogue comes care confrontations travolta two send mindful knowing glares across room "                                                                                        
[14] " many scenes generals daughter veteran cast performs splendidly pressure circumstances tie meetings together difficult absorb "                                                                  
[15] "director simon west con air shows watchful eye delivering stylish looking thriller fails miserably comes intellectual part "                                                                     
[16] " generals daughter often predictable unexciting mess "                                                                                                                                           
[17] " help matters plot virtually actionless dragging heels way mindnumbing snails pace "                                                                                                             
[18] " brief action scenes marvelously handled editing department show movie delivered proficient package "                                                                                            
[19] " director great job staging explosions miraculous stunts suggest west stick mindless riproaring action features attempt avoid future projects like "                                             
[20] "still movie certainly without merits "                                                                                                                                                           
[21] " acting good majority experienced cast "                                                                                                                                                         
[22] " performances range commanding travolta electric woods stiffasaboard cromwell doesnt show real talents "                                                                                         
[23] "madeleine stowe manages hold female lead actionthriller doesnt pull sufficiently "                                                                                                               
[24] "one problems execution predictable "                                                                                                                                                             
[25] " minute one doubts identity killer question "                                                                                                                                                    
[26] " script even unwillingly points us using familiar techniques hide guilt unmasking toward end "                                                                                                   
[27] " fairness weve seen many devices used generals daughter put greater effect films "                                                                                                               
[28] " secrets behind girls mysterious death explained gradually resolution tunneled much malarkey feels unnecessary surprisingly silly "                                                              
[29] " generals daughter terrible movie involving enough sustain viewers attention span certain period time "                                                                                          
[30] " just much better "                                                                                                                                                                              
