 [1] "capsule science fiction allegory "                                                                                       
 [2] " millennium lethal contagious virus hit taiwan "                                                                         
 [3] "officials cut water services center contagion "                                                                          
 [4] "life devolves degenerates "                                                                                              
 [5] " man apartment hole floor harasses downstairs neighbor "                                                                 
 [6] " slow harrowing film missed possible "                                                                                   
 [7] " low "                                                                                                                   
 [8] " taiwan virus ravaging taiwan part city center contagion evacuated anyone will go "                                      
 [9] "one apartment building still houses people "                                                                             
[10] " woman formerly office worker yang kueimei tormented upstairs neighbor lee kangsheng hole cut plumber floor using drain "
[11] "neighbor runs small failing grocery store "                                                                              
[12] " make things depressing constantly raining hard "                                                                        
[13] " upstairs neighbor vomits pours water etc small almost entirely onesided war starts "                                    
[14] "allegory callousness selfishness "                                                                                       
[15] " woman living pile rolls toilet tissue "                                                                                 
[16] " incongruous songs added show downstairs neighbors dreams "                                                              
[17] " songs popular taiwanese singer grace chang "                                                                            
[18] " apartment falling apart "                                                                                               
[19] "wallpaper separating walls "                                                                                             
[20] "plumbing failing "                                                                                                       
[21] " boredom shown long cuts nothing happens "                                                                               
[22] " lot film seems used "                                                                                                   
[23] " story might done much better tenminute animated film "                                                                  
[24] " stars considered great dramatic actors one reviewer "                                                                   
[25] " film seems longer minutes twohour films "                                                                               
