 [1] " generals daughter will probably cleverest stupid film well see year perhaps stupidest clever film "                                                                                                                         
 [2] " confusing critic much knuckleheaded plotting ostentatious direction shares screen much snappy dialogue crisp character interaction "                                                                                        
 [3] " however happens legendary screenwriter william goldman takes pass otherwise brutally predictable conspiracy thriller "                                                                                                      
 [4] " punchedup punch lines ever verge convincing generals daughter brain head even remaining narrative punches face lack common sense "                                                                                          
 [5] " hero warrant officer paul brenner brash investigator u s armys criminal investigation division "                                                                                                                            
 [6] " latest case murder captain elisabeth campbell leslie stefanson georgia base victim found tied ground apparent sexual assault strangulation "                                                                                
 [7] "complicating case fact capt campbell daughter general joe campbell james cromwell war hero potential vicepresidential nominee "                                                                                              
 [8] "general campbell wants keep case press gives brenner hours fbi steps "                                                                                                                                                       
 [9] "teamed rape investigator sarah sunhill madeleine stowe coincidentally enough romantic relationship brenner brenner begins uncovering dark secrets late captains past make case ever sordid "                                 
[10] " sordidness worst generals daughters problems "                                                                                                                                                                              
[11] "scenes sexual degredation linger much longer necessary negligible dramatic value overwhelmed filteredlight sleaze "                                                                                                          
[12] "director simon west likely thinks hes covered juxtaposing images violence sweet flowers prove dependent visual cliches films fatal flaw "                                                                                    
[13] " trend continues two hours taking storys virtues slapping coat moronproof obviousness "                                                                                                                                      
[14] "characters may wink wink turn villains photographed ominous shadow cutaway inserts captain campbells stillliving face corpse uncovered insure fiveminute attention spans "                                                   
[15] "west just cant help overdirecting every minute generals daughter "                                                                                                                                                           
[16] " even turns scene footage shown cnn excuse slowfade edits "                                                                                                                                                                  
[17] "bubbling overcooked stew enough tasty lines distract smell "                                                                                                                                                                 
[18] " slickest scene finds brenner squaring captain campbells mentor psychological warfare expert named moore james woods "                                                                                                       
[19] "theres something invigorating watching two smart actors playing smart characters firing honesty one another "                                                                                                                
[20] "indeed travolta gets sink teeth dozens choice lines based delight provoking authority figures local sheriff georgia county shouldnt nightsticking colored folk "                                                             
[21] "even lame device brenner sunhills sexual history provides winning zingers "                                                                                                                                                  
[22] "goldmans dialogue can serve bigger laugh youll find socalled comedies "                                                                                                                                                      
[23] "dialogue unfortunately just isnt enough make quality script "                                                                                                                                                                
[24] " difficult take movie criminal investigation seriously investigators stupid solve sooner idiotic inability recognize nature crime scene lucky last longer one two occasions brenner catches vital piece evidence corner eye "
[25] " time generals daughter wanders towards overwrought psychointherain finale wests heavy hand obliterated made film occasionally fun "                                                                                         
[26] " silly pretentious filmmaking least provides giggle five "                                                                                                                                                                   
[27] "goldman tear decent pages script turn standup routine "                                                                                                                                                                      
