 [1] "dont let movie fool believing romantic noirs william shakespeare "                                                                                                       
 [2] " one will truly understand heart soul man except work movie makes vain attempt "                                                                                         
 [3] " moves glamorise life hollywood annoying tendency will subtract achievement rather expound greatness "                                                                   
 [4] " movie life although well written puts much makeup man whose life probably pork potatoes rather lobster champagne "                                                      
 [5] "oh well lets fantasise onwards assume bit flirtatious playwrite falls love beautiful woman gwyneth paltrow inspiration several plays develop romeo juliet twelfth night "
 [6] " easier believe wet dream thats plays develop please spare unnecessary melodrama "                                                                                       
 [7] " guess version probably wouldnt draw crowd make dollar screen "                                                                                                          
 [8] " justification romanticising man shakespeare need read work order find soul "                                                                                            
 [9] " think "                                                                                                                                                                 
[10] " oscars deserved movie "                                                                                                                                                 
[11] " think "                                                                                                                                                                 
[12] " many aspects private ryan life beautiful far superior movies one never assume criteria winning oscar time reasons unexplained undeserving movie will win accolade "     
[13] "another sore point fact gwyneth won best female lead polished cate guess go enough grandfather dying nephew hospitalised people will start feeling sorry "               
