 [1] " wish films take issues faith morality modern world "                                                                                                                                                                                                                   
 [2] " wish filmmakers use commandments blueprint "                                                                                                                                                                                                                           
 [3] "writerdirector daniel taplitz created bizarre conglomeration satire soulsearching tale seth warner aidan quinn man faith runs streak bad luck usually inspires countrywestern lyrics pregnant wife drowns home destroyed tornado loses job dog crippled bolt lightning "
 [4] "convinced god broken half covenant seth decides break sets turn every thou shalt ten commandments thou shalt vice versa "                                                                                                                                               
 [5] " wifes sister rachel friends courteney cox wants help seth rachels selfish husband harry anthony lapaglia tends break commandments thinks seth lunatic "                                                                                                                
 [6] "thus begins film picks wrong tone every occasion "                                                                                                                                                                                                                      
 [7] "taplitz isnt interested treating seths tragedies genuinely tragic making impossible sympathize "                                                                                                                                                                        
 [8] "composer joseph vitarelli provides score full whimsical woodwinds turning seths sacrilegious mission amusing lark quinns performance seth wildeyed fervor without genuine pain "                                                                                        
 [9] " actual breaking commandments almost treated afterthought one five dispatched fiveminute montage "                                                                                                                                                                      
[10] " result character whose actions feel less like authentic responses anguished man machinations highconcept movie plot "                                                                                                                                                  
[11] " even entirely clear commandments seth "                                                                                                                                                                                                                                
[12] "corporate attorney rachel given case supposed soften hard heart see indication harry gets comeuppance part seths false witness "                                                                                                                                        
[13] " courteney cox strikes note reality solid performance sane center around equally troubled men revolve "                                                                                                                                                                 
[14] "even cant force taplitz decide whose story learned dealing struggles lives relationship infinite "                                                                                                                                                                      
[15] " time seth makes singularly biblical reappearance late film become clear taplitz aiming fantastical fable makes connection real human experience "                                                                                                                      
[16] "commandments bad comedy decent drama daniel taplitz guts take faith loss thereof seriously "                                                                                                                                                                            
