 [1] "along carreer mel gibson collected several successes economic point view also artistic point view "                                                                                
 [2] " think one guess skills abilities now disclosed braveheart "                                                                                                                       
 [3] " australian actor decided produce direct film sir william wallace popular scotch hero th century also perform principal role "                                                     
 [4] "accepting huge challenge mel gibson run risk stain work years suppoosed failure just see recognized everyone potentialities way consolidate position hollywood "                   
 [5] " definitely enormous risk im sure mel knew exactly well going face "                                                                                                               
 [6] "braveheart fact magnificent magisterial film "                                                                                                                                     
 [7] " three hours completely absorbed narratives rhyitm never gives place single moment monotony uninterest "                                                                           
 [8] " william wallaces story story many others brave libertys defenders fought gave life essential value along centuries "                                                              
 [9] "seeing people victims injustices violent repression william wallace dares face powerful edward king england war autonomy scotland "                                                
[10] " victories succeed number fighters wallace goes growing "                                                                                                                          
[11] " courage inteligence admired everyone including princess isabelle wales wife edwards son "                                                                                         
[12] "however william wallace also surrounded enemies closer thought "                                                                                                                   
[13] "braveheart may historically corrected movie nature message make us think importance give liberty nowadays "                                                                        
[14] "mel gibson directs lot brilliancy brilliant cast "                                                                                                                                 
[15] "patrick mcgoohan nice performance edward king longshank "                                                                                                                          
[16] " scene waits death loses voice really good "                                                                                                                                       
[17] "sophie marceau princess isabelle along movie fifteen minutes performance mel gibson gave minutes special treatment princess isabelle soon becomes one major characters braveheart "
[18] " also liked performances angus macfadyen robert bruce course mel gibson william wallace "                                                                                          
[19] "however think time mel gibsons work director much better work actor "                                                                                                              
[20] " excellent music composed james horner another thing helps braveheart success really "                                                                                             
[21] " join music beautiful scotch landscapes view camera john toll realize beauty film "                                                                                                
[22] "braveheart opinion one best movies "                                                                                                                                               
[23] "ive heard people saying mel gibson gonna new david lean "                                                                                                                          
[24] " now lets see braveheart equalizes oscars lawrence arabia "                                                                                                                        
[25] " wont easy "                                                                                                                                                                       
[26] " gonna one challenge mel gibson "                                                                                                                                                  
