 [1] "one indicator badness film hype remembered film "                                                                                                                                             
 [2] " case boxing helena directorial debut jennifer chambers lynch daughter great david lynch "                                                                                                    
 [3] "made dying years posttwin peaks lynch craze among movie snobs hyped another warped twisted masterpiece lynch clan "                                                                           
 [4] "kim basinger also provided extra publicity quitting lead role sued breech contract "                                                                                                          
 [5] " result extremely disappointing film quickly sank welldeserved oblivion "                                                                                                                     
 [6] " movie protagonist nick cavanaugh played julian sands talented surgeon getting obsessed helena sherilyn fenn beautiful woman ditched brief affair "                                           
 [7] "cavanaugh stalks uses every opportunity pathetic attempts reestablish relationship "                                                                                                          
 [8] " one occasions helena hit car nick quickly takes role personal physician order way "                                                                                                          
 [9] " wakes helena discovers prisoner cavanaughs stylish residence also cavanaugh amputated legs order prevent escaping "                                                                          
[10] " still trying escape cavanaugh takes arms "                                                                                                                                                   
[11] "apart casting sherilyn fenn audrey horne twin peaks small cameo wild heart use twisted characters perverse fantasies film ms lynch hasnt got anything common works directors talented father "
[12] "despite rather bizarre subject style film conventional setting light characters beautiful result end quite sterile film end looks artificial dark sexual fantasy supposed portray "           
[13] "jennifer lynch obviously lacks talents directing becomes painfully obvious scenes supposed erotic banal artificiality even bellow standards playboy videos "                                  
[14] " actors arent good either "                                                                                                                                                                   
[15] "julian sands terribly miscast emotionally disturbed man actors best either plays charismatic protagonists villains neurotic doesnt suit "                                                     
[16] "bill paxton better role presence wasted forgettable unnecessary subplot dealing helenas boyfriend "                                                                                           
[17] "sherilyn fenn contributed film mostly looks even greater effort acting couldnt help film "                                                                                                    
[18] " screenplay hand awful least someone made bestseller laura palmers diary events movie implausible characters come go without purpose many unnecessary subplots slow film add total confusion "
[19] "one subplots involves character cavanaughs regular girlfriend played betsy clarke "                                                                                                           
[20] " twist end although unpredictable unbelievable viewers stomach endure entire film feel cheated "                                                                                              
[21] " boxing helena disorganised quasiartistic mess movie remembered nothing one wiser decisions kim basingers career "                                                                            
