 [1] " associate italian cinema fellini high art sons room inventive subtle alternative "                                                                                                
 [2] "written directed starring nanni moretti takes us slow complicated path bereavement "                                                                                               
 [3] "slow best description film first "                                                                                                                                                 
 [4] " takes time establishing habits appears normal happy family "                                                                                                                      
 [5] "father mother work still find time support son daughter homework school activities "                                                                                               
 [6] " laugh spend free time together reprimand kids innocent wrongs sigh soft pat shoulder "                                                                                            
 [7] " get feeling open communication unconditional love amongst foursome "                                                                                                              
 [8] " suddenly son found dead diving accident "                                                                                                                                         
 [9] " family dynamics begin unpredictable descent gives narrative strength least expect can also trying attention span "                                                                
[10] "though film drags even repeats can somewhat excused influenced process grieving "                                                                                                  
[11] "though nanni moretti wore several hats production doesnt come across vanity piece "                                                                                                
[12] "one might wish hadnt picked profession analyst father giovanni stars makes characters reactions predictable "                                                                      
[13] " saves well written script spare dialogue eclectic variety human interaction "                                                                                                     
[14] " potency film lies recreation tiny details everyday life alter due death close relative remind depressed person loss "                                                             
[15] " start take notice cracked dishes ignored familial bliss full swing "                                                                                                              
[16] " remember bonding routine jogs around block necessarily huge events like graduation "                                                                                              
[17] "even better role reversals take place within household "                                                                                                                           
[18] " giovanni paola laura morante check daughter irene jasmine trinca sense autopilot "                                                                                                
[19] " irene begin take care needs shell make parents breakfast attempt crack new shells life around "                                                                                   
[20] " scenes provide interesting portrayals various coping mechanisms frequently crossing boundary much can help versus others drastic unexpected change "                              
[21] "respectfully gender issues never enter picture "                                                                                                                                   
[22] "selfpropelled isolation universal terms dealing moretti intelligently uses tool separate family "                                                                                  
[23] "though giovanni stop paolo discussing andrea party friends never sense stoic correct search restore sense balance lives "                                                          
[24] " films broach topic death utilize annoying melodrama speeches conciliatory issues get waterworks flowing "                                                                         
[25] " contrast sons room captures realistic depiction effects death family graciously flowing among five stages mourning denial depression anger bargaining acceptance main characters "
[26] " engaging minutes certainly easy relate "                                                                                                                                          
