 [1] " storytelling compelling needs books "                                                                                                                           
 [2] "based book author james ellroy l confidential probably one best piece work produced hollywood recent years "                                                     
 [3] "together director curtis hanson hand rocks cradle river wild ellroy corroborated closely throughout shooting film resulted movie plot script tight atom squeeze "
 [4] "set s story revolves around policemen vivid personalities "                                                                                                      
 [5] "jack vincennes spacey cop concerned busting fame stardom ala hollywood style concentrating heavily work will attract media attention "                           
 [6] " also young hotshot rookie ed exley pearce fresh academy allout carve name footsteps legendary cop father "                                                      
 [7] " tough unnerving bud white crowe cop believes justice swift violent way "                                                                                        
 [8] " policemen distinct characters paths working place real distinction good evil "                                                                                  
 [9] " partner murdered day resignation bud sets find people responsible unwittingly delved something just simple robbery murder "                                     
[10] "even exley receives promotion work murder case happenings began link murder "                                                                                    
[11] " eventually reach point convergence actually began personal investigation turns uncovering complex web organisedcrime hollywood "                                
[12] " last time remember film clever compelling watched usual suspects "                                                                                              
[13] " l confidential get shock cleverness former lot story going "                                                                                                    
[14] " single moment film felt slow "                                                                                                                                  
[15] "surprisingly though spacey convincing job streetwise vincennes movie carried mostly two rather unknowns pearce crowe "                                           
[16] "pearces exley cool calculative actions slight hint val kilmer appearance "                                                                                       
[17] "crowes bud white impressive headstrong temperamental obtain sort recognition work "                                                                              
[18] "superb acting wonderful storytelling one best climaxing gunfights ever "                                                                                         
[19] "easily best hollywood piece "                                                                                                                                    
