 [1] "tomb raider "                                                                                                                                                  
 [2] "fun "                                                                                                                                                          
 [3] "exciting "                                                                                                                                                     
 [4] "challenging "                                                                                                                                                  
 [5] "given unprecedented popularity especially among teenage boys video game sports uberbuff pistol packin babe raids well "                                        
 [6] "tombs believe three things "                                                                                                                                   
 [7] " lara croft tomb raider big screen variant said video game features pumpedup angelina jolie oscar winner girl interrupted less title role however none things "
 [8] " isnt fun isnt exciting challenge seeing long can stay seat suffered bitter bitter end wife opted barnes noble minute mark "                                   
 [9] "directed simon west subtlety brought con air tomb raider emptyheaded big budget bore "                                                                         
[10] " story borrows unintelligently mother turkeys hudson hawk hokum planetary alignments sacred stones brought together well "                                     
[11] " heck cares makes super mario bros bob hoskins illadvised career move look like rocco brothers classic italian neorealism "                                    
[12] "ill go limb say suspect theres actually character development video game movie proper "                                                                        
[13] " jolie defendersvideo game nuts jump say movie isnt character development kicking serious butt bum since ms croft hails englands green pleasant "              
[14] " lips breasts biceps inflated max lara croft posturing jolie hard time simply standing still without trying look tough "                                       
[15] "ok lets forget challenging "                                                                                                                                   
[16] "shouldnt tomb raider least fun exciting "                                                                                                                      
[17] "shouldnt buttkicking heroine also encompass sophistication say james bond wit indiana jones "                                                                  
[18] "theres humor found anywhere tomb raider even though tries hard time time "                                                                                     
[19] "even mummy returns didnt take seriously "                                                                                                                      
[20] " villain noticeably lacking special effects ridiculously overblown unnecessarily complicated script nonexistent "                                              
[21] " liven things perhaps jolies live father jon voight puts minutes laras dead father lord croft talk stretch "                                                   
[22] "one thing hadnt expected film jolie affects slightly better english accent pa although suspect thinlooking moustache hes forced wear gets way "                
[23] "unsuccessful entirely "                                                                                                                                        
[24] " anything lara croft tomb raider makes want check video game figure exactly fuss "                                                                             
